Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-1.65E-06,-2.71E-06,0.13522,0,0,0,1.9509,0.0068935,-1.55E-07,-1.67E-08,0.0068934,-2.77E-08,0.012599,0,0,0,0,0,0,package://SpiderBot/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpiderBot/meshes/body.STL,,spider_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_L1_J1,0.020853317,5.55E-17,-0.012,0,0,0,0.00957341,6.35E-07,1.48E-21,1.62E-20,2.95E-06,-8.56E-22,3.07E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J1.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J1.STL,,Link_A-27,Origin_L1_J1,Axis_L1_J1,L1_J1,revolute,0.108832033,-0.108832033,0.118,3.141592654,0,-0.785398163,body,0,0,1,0,0,0,0,,,,,,,,
link_L1_J2,1.25E-16,-9.71E-17,0.050908712,0,0,0,0.02142705,2.34E-05,1.69E-21,-6.64E-20,2.40E-05,5.49E-20,1.16E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J2.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J2.STL,,Link_B-27,Origin_L1_J2,Axis_L1_J2,L1_J2,revolute,0.032990381,0,-0.012,-2.617993878,0,-1.570796327,link_L1_J1,1,0,0,0,0,0,0,,,,,,,,
link_L1_J3,-0.050908712,5.55E-17,-1.80E-16,0,0,0,0.023843393,1.03E-06,3.67E-20,-4.30E-20,3.83E-05,3.39E-21,3.84E-05,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J3.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J3.STL,,Link_C-27,Origin_L1_J3,Axis_L1_J3,L1_J3,revolute,0,0,0.101817424,1.570796327,-0.523598776,1.570796327,link_L1_J2,0,0,1,0,0,0,0,,,,,,,,
link_L1_J4,-2.44E-10,-0.003369409,-0.048331567,0,0,0,0.020567785,2.07E-05,2.06E-14,1.56E-13,2.06E-05,-2.80E-06,1.64E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J4.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L1_J4.STL,,Link_D-27,Origin_L1_J4,Axis_L1_J4,L1_J4,revolute,-0.101817424,0,0,0,1.570796306,0,link_L1_J3,1,0,0,0,0,0,0,,,,,,,,
link_L2_J1,0.020853317,1.40E-15,-0.012,0,0,0,0.00957341,6.35E-07,8.77E-20,1.82E-20,2.95E-06,8.19E-22,3.07E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J1.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J1.STL,,Link_A-36,Origin_L2_J1,Axis_L2_J1,L2_J1,revolute,0,-0.12,0.118,-3.141592654,0,-1.570796327,body,0,0,1,0,0,0,0,,,,,,,,
link_L2_J2,1.86E-16,1.53E-16,0.050908712,0,0,0,0.02142705,2.34E-05,-1.91E-20,-4.91E-19,2.40E-05,-3.03E-20,1.16E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J2.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J2.STL,,Link_B-38,Origin_L2_J2,Axis_L2_J2,L2_J2,revolute,0.032990381,0,-0.012,-2.617993878,0,-1.570796327,link_L2_J1,1,0,0,0,0,0,0,,,,,,,,
link_L2_J3,-0.050908712,1.11E-16,1.25E-15,0,0,0,0.023843393,1.03E-06,4.00E-20,2.23E-21,3.83E-05,-3.52E-22,3.84E-05,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J3.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J3.STL,,Link_C-36,Origin_L2_J3,Axis_L2_J3,L2_J3,revolute,0,0,0.101817424,1.570796327,-0.523598776,1.570796327,link_L2_J2,0,0,1,0,0,0,0,,,,,,,,
link_L2_J4,-2.56E-10,-0.003369409,-0.048331567,0,0,0,0.020567785,2.07E-05,2.04E-14,1.64E-13,2.06E-05,-2.80E-06,1.64E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J4.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L2_J4.STL,,Link_D-36,Origin_L2_J4,Axis_L2_J4,L2_J4,revolute,-0.101817424,0,0,0,1.570796327,0,link_L2_J3,1,0,0,0,0,0,0,,,,,,,,
link_L3_J1,0.020853317,-1.39E-17,-0.012,0,0,0,0.00957341,6.35E-07,3.71E-22,-6.70E-22,2.95E-06,-4.36E-23,3.07E-06,0,0,0,0,0,0,package://SpiderBot/meshes/link_L3_J1.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://SpiderBot/meshes/link_L3_J1.STL,,Link_A-26,Origin_L3_J1,Axis_L3_J1,L3_J1,revolute,-0.108832033,-0.108832033,0.118,3.141592654,0,-2.35619449,body,0,0,1,0,0,0,0,,,,,,,,
