Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-1.6455E-06,-2.7132E-06,0.13522,0,0,0,1.9509,0.0068935,-1.5477E-07,-1.6748E-08,0.0068934,-2.768E-08,0.012599,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/body.STL,,spider_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_L1_J1,0.0208533170560279,5.55111512312578E-17,-0.0120000000000001,0,0,0,0.00957341037321664,6.35237498388445E-07,1.27054942088145E-21,1.62186169348837E-20,2.95388816018321E-06,-8.55851251114886E-22,3.07273769122766E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J1.STL,,Link_A-27,Origin_L1_J1,Axis_L1_J1,L1_J1,continuous,0.108832033144844,-0.108832033144843,0.118000000000001,3.14159265358978,0,-0.785398163397437,body,0,0,1,0,0,0,0,,,,,,,,
link_L1_J2,1.2490009027033E-16,-9.71445146547012E-17,0.0509087121146357,0,0,0,0.0214270498659543,2.34021439622059E-05,3.3881317890172E-21,-6.68361934942846E-20,2.39989247736348E-05,5.1351372427292E-20,1.16162974067388E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J2.STL,,Link_B-27,Origin_L1_J2,Axis_L1_J2,L1_J2,continuous,0.0329903810567685,0,-0.0119999999999972,-2.6179938779915,0,-1.5707963267949,link_L1_J1,1,0,0,0,0,0,0,,,,,,,,
link_L1_J3,-0.0509087121146357,5.55111512312578E-17,-1.80411241501588E-16,0,0,0,0.0238433927437446,1.0284985609508E-06,3.67400540871553E-20,-4.2960452293554E-20,3.82502554199004E-05,3.3881317890172E-21,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J3.STL,,Link_C-27,Origin_L1_J3,Axis_L1_J3,L1_J3,continuous,0,0,0.101817424229271,1.5707963267949,-0.523598775598305,1.57079632679489,link_L1_J2,0,0,1,0,0,0,0,,,,,,,,
link_L1_J4,-2.43606107508398E-10,-0.00336940912784062,-0.0483315670397481,0,0,0,0.0205677845340441,2.06704743841636E-05,2.05897836080089E-14,1.55720657781972E-13,2.05646985832854E-05,-2.80021798240062E-06,1.64193171564564E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L1_J4.STL,,Link_D-27,Origin_L1_J4,Axis_L1_J4,L1_J4,continuous,-0.101817424229271,0,0,0,1.57079630572147,0,link_L1_J3,1,0,0,0,0,0,0,,,,,,,,
link_L3_J1,0.0208533170560279,-1.38777878078145E-17,-0.0120000000000004,0,0,0,0.00957341037321663,6.35237498388445E-07,3.70576914423756E-22,-6.69667750469574E-22,2.95388816018321E-06,-4.36347195670013E-23,3.07273769122765E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J1.STL,,Link_A-26,Origin_L3_J1,Axis_L3_J1,L3_J1,continuous,-0.108832033144843,-0.108832033144843,0.118000000000001,3.14159265358979,0,-2.35619449019234,body,0,0,1,0,0,0,0,,,,,,,,
link_L3_J2,1.94289029309402E-16,2.91433543964104E-16,0.0509087121146358,0,0,0,0.0214270498659543,2.34021439622059E-05,2.5410988417629E-21,-8.97325528497524E-20,2.39989247736348E-05,-1.15646467079814E-19,1.16162974067388E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J2.STL,,Link_B-26,Origin_L3_J2,Axis_L3_J2,L3_J2,continuous,0.0329903810567658,0,-0.0120000000000016,-2.61799387799149,0,-1.5707963267949,link_L3_J1,1,0,0,0,0,0,0,,,,,,,,
link_L3_J3,-0.0509087121146357,-5.55111512312578E-17,4.16333634234434E-17,0,0,0,0.0238433927437446,1.02849856095081E-06,-7.94093388050907E-22,5.82335151237331E-20,3.82502554199004E-05,-3.3881317890172E-21,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J3.STL,,Link_C-26,Origin_L3_J3,Axis_L3_J3,L3_J3,continuous,0,0,0.101817424229271,1.5707963267949,-0.523598775598299,1.57079632679489,link_L3_J2,0,0,1,0,0,0,0,,,,,,,,
link_L3_J4,-2.4360616301955E-10,-0.00336940912784073,-0.0483315670397482,0,0,0,0.020567784534044,2.06704743841635E-05,2.05897802198771E-14,1.55720654711478E-13,2.05646985832853E-05,-2.80021798240069E-06,1.64193171564566E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L3_J4.STL,,Link_D-26,Origin_L3_J4,Axis_L3_J4,L3_J4,continuous,-0.101817424229271,0,0,0,1.5707963267949,0,link_L3_J3,1,0,0,0,0,0,0,,,,,,,,
link_L5_J1,0.0208533170560279,-2.77555756156289E-17,-0.0120000000000006,0,0,0,0.00957341037321663,6.35237498388445E-07,1.27054942088145E-21,-7.47259228201136E-22,2.95388816018321E-06,8.73052423127702E-23,3.07273769122766E-06,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L5_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_4Legs/meshes/link_L5_J1.STL,,Link_A-24,Origin_L5_J1,Axis_L5_J1,L5_J1,continuous,-0.108832033144842,0.108832033144844,0.118,3.14159265358979,0,2.35619449019236,body,0,0,1,0,0,0,0,,,,,,,,
